"","Month","Longitude","Latitude","Location","Crime type","City-Town-Village","Population"
"332014","2017-02",-5.93765,54.586411,"Abercorn Street","ASBO","BELFAST",232
"33303","2015-03",-5.935054,54.598569,"King Street","VECR","Other Town",NA
"98308","2015-08",-5.960557,54.592379,NA,"ASBO",NA,NA
"397491","2017-06",-5.955374,54.621691,"Oldpark Road","OTCR","Other Town",NA
"15502","2015-02",-5.715557,54.328604,"St Patrick'S Avenue","BURG",NA,NA
"377088","2017-05",-5.887647,54.596915,"Ravenscroft Street","CDAR","BELFAST",232
"298832","2016-11",-7.320469,54.996614,"Shipquay Street","ASBO","LONDONDERRY",NA
"82617","2015-07",-6.379082,54.444897,"Drumgor Park","ASBO","CRAIGAVON",110
"345731","2017-03",-5.884587,54.598622,"Lomond Avenue","ASBO","BELFAST",232
"163221","2016-01",-6.444442,54.422604,"Market Street West","ASBO",NA,NA
"161592","2015-12",-6.220897,54.482581,"St. Johns Park","VISO","Other Town",NA
"194451","2016-03",-6.618944,54.761715,"Hazeldene Avenue","DRUG","Other Town",NA
"240167","2016-06",-6.028727,54.576411,"Spruce Hill","OTCR","Other Town",NA
"145003","2015-11",-5.985872,54.56194,"Finaghy Road North","OTTH","BELFAST",232
"11717","2015-02",-5.926294,54.572416,NA,"ASBO",NA,NA
"409464","2017-07",-6.045275,54.552852,NA,"VISO",NA,NA
"394021","2017-06",-5.906173,54.596257,"Clandeboye Gardens","VECR","BELFAST",232
"226997","2016-06",-5.776739,54.594352,"Regent Court","ASBO","DUNDONALD",102
"41953","2015-04",-5.873637,54.603255,"Edgcumbe Gardens","ASBO","BELFAST",232
"97899","2015-08",-7.219875,55.028797,"Cloghole Road","ASBO","LONDONDERRY",NA
"353918","2017-03",-5.965701,54.615198,"Estoril Park","VISO","BELFAST",232
"303784","2016-11",-5.857056,54.593331,"Sandringham Mews","OTTH","BELFAST",232
"204637","2016-04",-5.942104,54.617423,"Brookvale Street","ASBO","BELFAST",232
"238629","2016-06",-6.952435,55.05168,"Main Street","VISO","Other Town",NA
"6660","2015-01",-5.922012,54.628877,"Oakmount Drive","OTTH","BELFAST",232
