"","Organisation name","Sub-building Name","Building Name","Number","Primary Thorfare","Alt Thorfare","Secondary Thorfare","Locality","Townland","Town","County","Postcode","x-coordinates","y-coordinates","Primary Key"
"824119",NA,NA,NA,"13","DOGLEAP ROAD",NA,NA,NA,"LARGY","LIMAVADY","LONDONDERRY","BT499NN",267715,419629,824119
"824596",NA,NA,NA,"38","ROSE PARK",NA,NA,NA,"CARRAN","LIMAVADY","LONDONDERRY","BT490BF",268847,421514,824596
"824623",NA,NA,NA,"122","DRUMMOND MANOR",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UQ",269220,422257,824623
"824942","TESCO",NA,NA,"119","MAIN STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EP",267283,423287,824942
"825279",NA,NA,NA,"1","RITTERS COURT",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499EJ",267157,421914,825279
"825325",NA,NA,NA,"11A","MAIN STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EP",266955,423148,825325
"825365",NA,NA,NA,"53","CROSSNADONNELL ROAD",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490BD",268830,422559,825365
"825406",NA,NA,NA,"100","CARROWCLARE ROAD",NA,NA,NA,"CARROWCLARE","LIMAVADY","LONDONDERRY","BT499EB",263922,427609,825406
"825407",NA,"FLAT 4",NA,"5A","LINENHALL STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490HQ",266996,423048,825407
"825571",NA,NA,NA,"16","POINT ROAD",NA,NA,NA,"DRUMAHORGAN","LIMAVADY","LONDONDERRY","BT490LP",267991,434307,825571
"825593",NA,NA,"TOWN HALL","14","MAIN STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499HS",266988,423234,825593
"825711",NA,NA,NA,"38","LILAC AVENUE",NA,NA,NA,"GORTNAMONEY","LIMAVADY","LONDONDERRY","BT490HS",268009,425126,825711
"825908",NA,NA,NA,"79","MEADOWVALE PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RD",268225,421945,825908
"825909",NA,NA,NA,"74","BARANAILT ROAD",NA,NA,NA,"DROMORE","LIMAVADY","LONDONDERRY","BT499HN",265219,420766,825909
"825910",NA,NA,NA,"116","MEADOWVALE PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490SL",268302,422131,825910
"825911",NA,NA,NA,"89","IRISH GREEN STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AA",267203,422819,825911
"825914",NA,NA,NA,"13","WINDSOR AVENUE",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DA",267723,423402,825914
"825915",NA,NA,NA,"15","COOLESSAN WALK",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499EN",267469,421737,825915
"825916",NA,NA,NA,"81","ALEXANDER ROAD",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BP",267398,423403,825916
